web_name,position,team_name,now_cost,total_points,points_per_game,form,selected_by_percent,value_per_million,score
Gvardiol,Defender,Man City,60,153,4.1,0.0,17.4,2.55,118.64140000000002
Muñoz,Defender,Crystal Palace,55,142,3.8,0.0,8.7,2.581818181818182,105.33372272727273
Virgil,Defender,Liverpool,60,143,3.9,0.0,21.7,2.3833333333333333,98.884
Cucurella,Defender,Chelsea,60,133,3.7,0.0,19.4,2.216666666666667,94.9269
Aït-Nouri,Defender,Man City,60,125,3.4,0.0,24.8,2.0833333333333335,93.7581
Collins,Defender,Brentford,50,127,3.3,0.0,1.6,2.54,90.30700000000002
Milenković,Defender,Nott'm Forest,55,145,3.9,0.0,8.1,2.6363636363636362,90.19195454545455
Lewis-Potter,Defender,Brentford,50,94,2.5,0.0,0.4,1.88,87.38159999999999
Kerkez,Defender,Liverpool,60,134,3.5,0.0,11.2,2.2333333333333334,83.5868
Schär,Defender,Newcastle,55,118,3.5,0.0,2.2,2.1454545454545455,82.30356818181816
Burn,Defender,Newcastle,50,115,3.1,0.0,3.1,2.3,82.0415
Murillo,Defender,Nott'm Forest,55,130,3.6,0.0,4.4,2.3636363636363638,80.33394545454546
Gabriel,Defender,Arsenal,60,117,4.2,0.0,23.9,1.95,80.10565
Guéhi,Defender,Crystal Palace,45,116,3.4,0.0,13.3,2.577777777777778,79.25461666666669
Lacroix,Defender,Crystal Palace,50,114,3.3,0.0,1.0,2.28,78.3728
Pickford,Goalkeeper,Everton,55,158,4.2,0.0,12.5,2.8727272727272726,77.8269090909091
Robinson,Defender,Fulham,50,106,2.9,0.0,6.6,2.12,74.7813
Wan-Bissaka,Defender,West Ham,45,118,3.3,0.0,32.5,2.6222222222222222,74.55103333333334
Saliba,Defender,Arsenal,60,130,3.7,0.0,13.9,2.1666666666666665,73.99695
Tarkowski,Defender,Everton,55,105,3.2,0.0,4.9,1.9090909090909092,72.67746363636365
J.Timber,Defender,Arsenal,55,114,3.8,0.0,2.3,2.0727272727272728,72.49665909090908
N.Williams,Defender,Nott'm Forest,50,109,3.1,0.0,2.8,2.18,71.97140000000002
Sels,Goalkeeper,Nott'm Forest,50,150,3.9,0.0,17.9,3.0,70.191
Raya,Goalkeeper,Arsenal,55,142,3.7,0.0,18.3,2.581818181818182,69.94827272727274
Pedro Porro,Defender,Spurs,55,98,3.0,0.0,10.4,1.7818181818181817,69.06757272727273
Colwill,Defender,Chelsea,50,109,3.1,0.0,5.4,2.18,68.5295
M.Salah,Midfielder,Liverpool,145,344,9.1,0.0,56.1,2.372413793103448,68.10456206896552
Konsa,Defender,Aston Villa,45,103,3.0,0.0,23.8,2.2888888888888888,66.53013333333334
Mitchell,Defender,Crystal Palace,50,123,3.3,0.0,0.9,2.46,66.2935
Konaté,Defender,Liverpool,55,106,3.4,0.0,2.8,1.9272727272727272,65.65714090909091
Dalot,Defender,Man Utd,45,95,2.9,0.0,2.7,2.111111111111111,65.46726666666667
Livramento,Defender,Newcastle,50,105,2.8,0.0,4.5,2.1,64.08175
Chalobah,Defender,Chelsea,50,93,3.7,0.0,0.7,1.86,63.987449999999995
De Ligt,Defender,Man Utd,50,68,2.3,0.0,1.0,1.36,63.484950000000005
Aina,Defender,Nott'm Forest,50,128,3.7,0.0,18.2,2.56,62.7188
Van Hecke,Defender,Brighton,45,87,2.6,0.0,1.2,1.9333333333333333,62.048
Sánchez,Goalkeeper,Chelsea,50,126,3.9,0.0,14.8,2.52,61.887
Henderson,Goalkeeper,Crystal Palace,50,135,3.6,0.0,3.4,2.7,61.496
Hall,Defender,Newcastle,55,102,3.8,0.0,2.9,1.8545454545454545,61.43258181818182
Leno,Goalkeeper,Fulham,50,115,3.0,0.0,1.7,2.3,61.351
Mykolenko,Defender,Everton,50,121,3.5,0.0,4.6,2.42,61.3221
Matheus N.,Defender,Man City,55,81,3.1,0.0,0.6,1.4727272727272727,61.259409090909095
Robertson,Defender,Liverpool,60,91,2.8,0.0,2.2,1.5166666666666666,61.16145
Rúben,Defender,Man City,55,90,3.3,0.0,2.3,1.6363636363636365,59.99890454545454
Branthwaite,Defender,Everton,55,88,2.9,0.0,1.9,1.6,57.98545
A.Becker,Goalkeeper,Liverpool,55,112,4.0,0.0,10.7,2.036363636363636,57.71585454545454
Kilman,Defender,West Ham,45,82,2.2,0.0,0.4,1.8222222222222222,57.06073333333334
Bassey,Defender,Fulham,45,75,2.1,0.0,0.4,1.6666666666666667,56.398700000000005
Mazraoui,Defender,Man Utd,50,88,2.4,0.0,1.1,1.76,56.1608
Zabarnyi,Defender,Bournemouth,50,94,2.6,0.0,0.5,1.88,55.21245000000001
Arrizabalaga,Goalkeeper,Arsenal,45,106,3.4,0.0,1.0,2.3555555555555556,53.942833333333326
Digne,Defender,Aston Villa,45,89,2.8,0.0,1.6,1.9777777777777779,52.644066666666674
Van den Berg,Defender,Brentford,45,62,2.0,0.0,0.4,1.3777777777777778,50.955866666666665
Toti,Defender,Wolves,45,79,2.5,0.0,0.2,1.7555555555555555,50.62898333333334
Pope,Goalkeeper,Newcastle,50,102,3.6,0.0,3.9,2.04,50.227000000000004
Ederson M.,Goalkeeper,Man City,55,111,4.3,0.0,3.7,2.018181818181818,49.92872727272728
Romero,Defender,Spurs,50,49,2.7,0.0,1.6,0.98,49.5728
Verbruggen,Goalkeeper,Brighton,45,103,2.9,0.0,7.0,2.2888888888888888,49.230333333333334
Andersen,Defender,Fulham,45,51,1.7,0.0,0.9,1.1333333333333333,48.62365000000001
Cash,Defender,Aston Villa,45,76,2.8,0.0,1.7,1.6888888888888889,48.19178333333333
Martinez,Defender,Man Utd,50,68,3.4,0.0,0.6,1.36,47.92155
Palmer,Midfielder,Chelsea,105,214,5.8,0.0,52.3,2.038095238095238,47.905364285714285
Maguire,Defender,Man Utd,45,48,1.8,0.0,0.6,1.0666666666666667,47.02755000000001
Doherty,Defender,Wolves,45,75,2.5,0.0,0.2,1.6666666666666667,46.69025
Richards,Defender,Crystal Palace,45,68,2.8,0.0,0.6,1.511111111111111,45.40271666666667
Gusto,Defender,Chelsea,50,60,1.9,0.0,2.2,1.2,44.957649999999994
Mbeumo,Midfielder,Man Utd,80,236,6.2,0.0,17.6,2.95,44.94325
Lewis,Defender,Man City,50,66,2.4,0.0,0.6,1.32,44.2224
Pinnock,Defender,Brentford,45,47,2.1,0.0,0.3,1.0444444444444445,43.69226666666666
Isak,Forward,Newcastle,105,211,6.2,0.0,30.5,2.0095238095238095,43.07432857142857
Tosin,Defender,Chelsea,45,71,3.2,0.0,0.4,1.5777777777777777,42.92681666666667
Akanji,Defender,Man City,55,61,2.3,0.0,0.6,1.1090909090909091,42.62196363636364
Emerson,Defender,West Ham,45,76,2.5,0.0,0.2,1.6888888888888889,41.543733333333336
Maatsen,Defender,Aston Villa,45,57,2.0,0.0,1.0,1.2666666666666666,41.346250000000005
Mavropanos,Defender,West Ham,45,45,1.4,0.0,0.1,1.0,40.90675000000001
José Sá,Goalkeeper,Wolves,45,93,3.2,0.0,2.6,2.066666666666667,40.62050000000001
Haaland,Forward,Man City,140,181,5.8,0.0,19.2,1.292857142857143,39.23072857142857
B.Fernandes,Midfielder,Man Utd,90,174,4.8,0.0,11.7,1.9333333333333333,38.450849999999996
Vicario,Goalkeeper,Spurs,50,66,2.8,0.0,3.5,1.32,38.18099999999999
Udogie,Defender,Spurs,45,43,1.7,0.0,9.1,0.9555555555555556,37.91948333333334
Tete,Defender,Fulham,45,49,2.2,0.0,0.2,1.0888888888888888,37.76198333333334
Pau,Defender,Aston Villa,45,55,2.3,0.0,0.4,1.2222222222222223,37.67928333333334
Cunha,Midfielder,Man Utd,80,178,5.4,0.0,11.4,2.225,37.30355
O'Brien,Defender,Everton,50,65,3.2,0.0,0.4,1.3,36.793400000000005
Bowen,Forward,West Ham,80,193,5.7,0.0,18.6,2.4125,36.620574999999995
Dunk,Defender,Brighton,45,44,1.8,0.0,1.0,0.9777777777777777,36.450716666666665
Areola,Goalkeeper,West Ham,45,69,2.7,0.0,6.0,1.5333333333333334,36.36795
Wissa,Forward,Brentford,75,185,5.3,0.0,7.4,2.466666666666667,35.18605
Trippier,Defender,Newcastle,50,72,2.9,0.0,1.4,1.44,35.17595000000001
Castagne,Defender,Fulham,45,46,1.9,0.0,0.2,1.0222222222222221,33.970433333333325
Bradley,Defender,Liverpool,50,41,2.2,0.0,0.7,0.82,33.8452
Veltman,Defender,Brighton,45,59,2.8,0.0,0.3,1.3111111111111111,33.74636666666667
Spence,Defender,Spurs,45,51,2.0,0.0,0.6,1.1333333333333333,33.7395
Wood,Forward,Nott'm Forest,75,200,5.6,0.0,16.1,2.6666666666666665,33.4829
Watkins,Forward,Aston Villa,90,186,4.9,0.0,12.6,2.066666666666667,33.22965000000001
